id,username,nama,password,role,saldo
123456,kabir000,Kabir,qwerty111,Admin,10.000.000
123457,aji111,Aji,qwerty112,Admin,20.000.000
123458,pinaka222,Pinaka,qwerty113,Admin,30.000.000
123459,syifa333,Syifa,qwerty114,Admin,40.000.000
123460,burhan444,Burhan,qwerty115,User,50.000.000
123461,michael555,Michael,qwerty116,User,60.000.000
123462,jessica666,Jessica,qwerty117,User,70.000.000
123463,vanessa777,Vanessa,qwerty118,User,80.000.000
123464,riandra888,Riandra,qwerty119,User,90.000.000
123465,fredrick999,Fredrick,qwerty120,User,80.000.000
123466,hugo123,hugo,qwerty121,User,10.000.000
123467,alkhairi456,alkhairi,qwerty122,User,20.000.000
123468,hamdan789,hamdan,qwerty123,User,30.000.000
123469,fatih321,fatih,qwerty124,User,40.000.000
123470,lutfy654,lutfy,qwerty125,User,50.000.000
123471,attar489,attar,qwerty126,User,60.000.000
123472,gibran159,gibran,qwerty127,User,70.000.000
123473,fadli753,fadli,qwerty128,User,80.000.000
123474,rangga165,rangga,qwerty129,User,90.000.000
123475,alif742,alif,qwerty130,User,80.000.000
123476,alyh349,alyh,qwerty131,User,10.000.000
123477,caca164,caca,qwerty132,User,20.000.000
123478,rivana925,rivana,qwerty133,User,30.000.000
123479,fayla100,fayla,qwerty134,User,40.000.000
