id,username,nama,password,role,saldo
123456,kabir000,Kabir,|#p} %<<<,Admin,10.000.000
123457,aji111,Aji,|#p} %<<=,Admin,20.000.000
123458,pinaka222,Pinaka,|#p} %<<>,Admin,30.000.000
123459,syifa333,Syifa,|#p} %<<?,Admin,40.000.000
123460,burhan444,Burhan,|#p} %<<@,User,50.000.000
123461,michael555,Michael,|#p} %<<A,User,60.000.000
123462,jessica666,Jessica,|#p} %<<B,User,70.000.000
123463,vanessa777,Vanessa,|#p} %<<C,User,80.000.000
123464,riandra888,Riandra,|#p} %<<D,User,90.000.000
123465,fredrick999,Fredrick,|#p} %<=;,User,80.000.000
123466,hugo123,hugo,|#p} %<=<,User,10.000.000
123467,alkhairi456,alkhairi,|#p} %<==,User,20.000.000
123468,hamdan789,hamdan,|#p} %<=>,User,30.000.000
123469,fatih321,fatih,|#p} %<=?,User,40.000.000
123470,lutfy654,lutfy,|#p} %<=@,User,50.000.000
123471,attar489,attar,|#p} %<=A,User,60.000.000
123472,gibran159,gibran,|#p} %<=B,User,70.000.000
123473,fadli753,fadli,|#p} %<=C,User,80.000.000
123474,rangga165,rangga,|#p} %<=D,User,90.000.000
123475,alif742,alif,|#p} %<>;,User,80.000.000
123476,alyh349,alyh,|#p} %<><,User,10.000.000
123477,caca164,caca,|#p} %<>=,User,20.000.000
123478,rivana925,rivana,|#p} %<>>,User,30.000.000
123479,fayla100,fayla,|#p} %<>?,User,40.000.000
123480,wawan222,wawan gaming,#l#lyRlxtyv,User,47.033.000
123481,tes,tes, p~,User,0
123482,tes2,tes2, p~=,User,0
